Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,<30,30s,40s,50s,60s,70s,80+,Total_pop,<30_%,30s_%,40s_%,50s_%,60s_%,70s_%,80+_%,est_death_rate_%,deaths/confirmed_%,deaths/million
Hungary,2020-04-11 22:45:13,47.1625,19.5033,1310,85,115,3115475.0,1323506.0,1558261.0,1207262.0,1324480.0,821456.0,427931.0,9778371.0,31.86087948595937,13.535035641417165,15.935793395443884,12.3462486747537,13.544996400729733,8.400744868444857,4.376301533251295,0.958356509484044,6.488549618320611,8.69265443088629
Iceland,2020-04-11 22:45:13,64.9631,-19.0208,1689,8,841,142984.0,49155.0,44224.0,43753.0,35378.0,20575.0,12381.0,348450.0,41.034294733821206,14.10675850193715,12.691634380829386,12.556464342086382,10.152963122399196,5.904720906873296,3.5531640120533794,0.739049504950495,0.4736530491415038,22.958817620892525
India,2020-04-11 22:45:13,20.593684,78.96288,8446,288,969,705808752.0,173735635.0,134756439.0,88215309.0,64118690.0,28441345.0,11289005.0,1206365175.0,58.50705628998284,14.401579107254983,11.170451683504542,7.3124880283451485,5.315031578228375,2.357606601168672,0.9357867115154415,0.30330118365693043,3.409898176651669,0.2387336819466792
Indonesia,2020-04-11 22:45:13,-0.7893,113.9213,3842,327,286,130686073.0,38335816.0,30565834.0,20009891.0,10752792.0,5434236.0,1856684.0,237641326.0,54.992990991810906,16.13179687442074,12.86217111917647,8.420206761512516,4.524798855902698,2.2867386289537874,0.7812967682228805,0.285129906235248,8.511192087454452,1.3760232931876504
Iran,2020-04-11 22:45:13,32.427908,53.68804599999999,70029,4357,41947,39245674.0,15638511.0,10351430.0,7276564.0,4254037.0,2064017.0,1096037.0,79926270.0,49.10234645004702,19.56617142273748,12.95122367151626,9.104095562072395,5.322451554413837,2.582401255557153,1.3713100836558494,0.3585481306709296,6.221708149480929,54.512740304282936
Ireland,2020-04-11 22:45:13,53.1424,-7.6921,8928,320,25,1894762.0,733791.0,705708.0,582705.0,459496.0,295945.0,157985.0,4830392.0,39.22584336840571,15.191127345358307,14.60974595850606,12.063306663310142,9.512602703879933,6.126728431150101,3.270645529389747,0.7196789411708201,3.584229390681003,66.24721140644486
Israel,2020-04-11 22:45:13,31.046051,34.851612,10743,101,1341,4374894.0,1152735.0,1018136.0,799442.0,711310.0,404484.0,252264.0,8713265.0,50.20958274538878,13.229656162184899,11.684896534192408,9.174999268356924,8.163529974125657,4.642163414058909,2.8951719016924193,0.5921329031080771,0.9401470725123336,11.591521662660323
Italy,2020-04-11 22:45:13,41.87194,12.56738,152271,19468,32534,17213699.0,7208084.0,9427258.0,9212746.0,7334964.0,5880222.0,4207000.0,60483973.0,28.45993433665477,11.917345442899393,15.586373600160162,15.231714358446657,12.127120022356996,9.7219506397174,6.955561599764619,1.189181689503102,12.785100248898345,321.8703903594428
Japan,2020-04-11 22:45:13,36.204824,138.252924,6005,99,762,33993000.0,14717000.0,18796000.0,15919000.0,17125000.0,14969000.0,11010000.0,126529000.0,26.865777805878494,11.631325624955544,14.855092508436801,12.581305471472943,13.534446648594392,11.830489453010774,8.701562487651051,1.415051885338539,1.6486261448792672,0.7824293245026832
Jordan,2020-04-11 22:45:13,31.24,36.51,381,7,177,5998489.0,1385590.0,1034340.0,594536.0,302731.0,163979.0,64031.0,9543696.0,62.852892631953075,14.518379462212543,10.837939515256982,6.229620054955648,3.1720520016563816,1.71819177811196,0.6709245558534136,0.2200443937023979,1.837270341207349,0.7334684591797559
Kazakhstan,2020-04-11 22:45:13,48.0196,66.9237,865,10,81,9121369.0,2825803.0,2232234.0,2000061.0,1291452.0,552974.5,252558.5,18276452.0,49.90776656213142,15.461441859722008,12.213716316492938,10.943376756057468,7.066207379856879,3.0256118638344027,1.3818792619048816,0.40703839290032884,1.1560693641618496,0.5471521496623086
Kenya,2020-04-11 22:45:13,-0.0236,37.9062,191,7,24,27717749.0,4528138.0,2748914.0,1668159.0,984541.0,557809.0,383701.0,38589011.0,71.82808857164025,11.73426807958359,7.123566862078948,4.322886119056019,2.5513506941134096,1.4455125579663082,0.9943271155614741,0.20816823214256516,3.664921465968586,0.181398792521529
"Korea, South",2020-04-11 22:45:13,35.90775700000001,127.766922,10480,211,7243,16400577.0,7467083.0,8512524.0,8463461.0,5749217.0,3376657.0,1637114.0,51606633.0,31.779978748080694,14.469231116085407,16.495019157711763,16.39994804543827,11.140461343409093,6.543067826184282,3.1722937630904924,0.7734280300751262,2.013358778625954,4.088621708763678
Kuwait,2020-04-11 22:45:13,29.31166,47.481766,1154,1,133,1532136.0,744423.0,477261.0,211590.0,68566.0,24499.0,7926.0,3066401.0,49.96528503610585,24.276766150284974,15.5642070296742,6.900271686579805,2.2360415353373546,0.7989496481379963,0.258478913879822,0.15394799962561975,0.08665511265164644,0.32611520802399946
