Country_Region,Age,Values,relative_pop
Kyrgyzstan,<30,3692968.0,0.004794003521890547
Kyrgyzstan,30s,953896.0,0.004794003521890547
Kyrgyzstan,40s,671759.0,0.004794003521890547
Kyrgyzstan,50s,570264.0,0.004794003521890547
Kyrgyzstan,60s,328396.0,0.004794003521890547
Kyrgyzstan,70s,109278.0,0.004794003521890547
Kyrgyzstan,80+,62939.0,0.004794003521890547
Laos,<30,4048833.0,0.004872068611559319
Laos,30s,916317.0,0.004872068611559319
Laos,40s,639777.0,0.004872068611559319
Laos,50s,465025.0,0.004872068611559319
Laos,60s,246080.0,0.004872068611559319
Laos,70s,118505.0,0.004872068611559319
Laos,80+,59009.0,0.004872068611559319
Latvia,<30,616828.0,0.001451390474817624
Latvia,30s,264821.0,0.001451390474817624
Latvia,40s,262146.0,0.001451390474817624
Latvia,50s,275831.0,0.001451390474817624
Latvia,60s,237452.0,0.001451390474817624
Latvia,70s,173019.0,0.001451390474817624
Latvia,80+,104332.0,0.001451390474817624
Lebanon,<30,1965309.0,0.0028204556906265745
Lebanon,30s,526325.0,0.0028204556906265745
Lebanon,40s,441755.0,0.0028204556906265745
Lebanon,50s,323275.0,0.0028204556906265745
Lebanon,60s,262044.0,0.0028204556906265745
Lebanon,70s,176574.0,0.0028204556906265745
Lebanon,80+,63852.0,0.0028204556906265745
Liberia,<30,2468555.0,0.0026084781275894594
Liberia,30s,423168.0,0.0026084781275894594
Liberia,40s,274544.0,0.0026084781275894594
Liberia,50s,139400.0,0.0026084781275894594
Liberia,60s,92637.0,0.0026084781275894594
Liberia,70s,48659.0,0.0026084781275894594
Liberia,80+,29645.0,0.0026084781275894594
Libya,<30,3358604.0,0.003975171664060011
Libya,30s,883628.0,0.003975171664060011
Libya,40s,480991.0,0.003975171664060011
Libya,50s,254896.0,0.003975171664060011
Libya,60s,175145.0,0.003975171664060011
Libya,70s,103526.0,0.003975171664060011
Libya,80+,41362.0,0.003975171664060011
Liechtenstein,<30,12254.0,2.864397409112065e-05
Liechtenstein,30s,4788.0,2.864397409112065e-05
Liechtenstein,40s,5730.0,2.864397409112065e-05
Liechtenstein,50s,6260.0,2.864397409112065e-05
Liechtenstein,60s,4680.0,2.864397409112065e-05
Liechtenstein,70s,3036.0,2.864397409112065e-05
Liechtenstein,80+,1429.0,2.864397409112065e-05
Lithuania,<30,919678.0,0.0021075015708023914
Lithuania,30s,346610.0,0.0021075015708023914
Lithuania,40s,381161.0,0.0021075015708023914
Lithuania,50s,431278.0,0.0021075015708023914
Lithuania,60s,333514.0,0.0021075015708023914
Lithuania,70s,238137.0,0.0021075015708023914
Lithuania,80+,158523.0,0.0021075015708023914
Luxembourg,<30,212795.0,0.0004517017485396872
Luxembourg,30s,93391.0,0.0004517017485396872
Luxembourg,40s,91457.0,0.0004517017485396872
Luxembourg,50s,85824.0,0.0004517017485396872
Luxembourg,60s,58477.0,0.0004517017485396872
Luxembourg,70s,36305.0,0.0004517017485396872
Luxembourg,80+,23784.0,0.0004517017485396872
Malawi,<30,9628698.0,0.00981361669852949
Malawi,30s,1450877.0,0.00981361669852949
Malawi,40s,784421.0,0.00981361669852949
Malawi,50s,527848.0,0.00981361669852949
Malawi,60s,338508.0,0.00981361669852949
