Country_Region,Age,relative_pop,Values
Nepal,<30,0.019878667421041267,16617651.0
Nepal,30s,0.019878667421041267,3339624.0
Nepal,40s,0.019878667421041267,2559080.0
Nepal,50s,0.019878667421041267,1823739.0
Nepal,60+,0.019878667421041267,2154410.0
Netherlands,<30,0.012890864262602289,5985594.0
Netherlands,30s,0.012890864262602289,2078145.0
Netherlands,40s,0.012890864262602289,2307135.0
Netherlands,50s,0.012890864262602289,2491356.0
Netherlands,60+,0.012890864262602289,4318854.0
New Zealand,<30,0.0036655838526178765,1997170.0
New Zealand,30s,0.0036655838526178765,628370.0
New Zealand,40s,0.0036655838526178765,615530.0
New Zealand,50s,0.0036655838526178765,625520.0
New Zealand,60+,0.0036655838526178765,1018940.0
Nicaragua,<30,0.0038580852839668733,3466062.0
Nicaragua,30s,0.0038580852839668733,632253.0
Nicaragua,40s,0.0038580852839668733,451622.0
Nicaragua,50s,0.0038580852839668733,278984.0
Nicaragua,60+,0.0038580852839668733,313177.0
Niger,<30,0.012861835387688455,12974695.0
Niger,30s,0.012861835387688455,1627346.0
Niger,40s,0.012861835387688455,1081951.0
Niger,50s,0.012861835387688455,696880.0
Niger,60+,0.012861835387688455,761522.0
Nigeria,<30,0.10536512964166111,99282221.0
Nigeria,30s,0.10536512964166111,16799293.0
Nigeria,40s,0.10536512964166111,11047763.0
Nigeria,50s,0.10536512964166111,6315466.0
Nigeria,60+,0.10536512964166111,6987047.0
Norway,<30,0.003973271169354487,1974838.0
Norway,30s,0.003973271169354487,708384.0
Norway,40s,0.003973271169354487,735068.0
Norway,50s,0.003973271169354487,680725.0
Norway,60+,0.003973271169354487,1196604.0
Oman,<30,0.002080924656685104,1725788.0
Oman,30s,0.002080924656685104,512347.0
Oman,40s,0.002080924656685104,275503.0
Oman,50s,0.002080924656685104,146220.0
Oman,60+,0.002080924656685104,113621.0
Pakistan,<30,0.11243935015966619,104018342.66
Pakistan,30s,0.11243935015966619,16784741.868
Pakistan,40s,0.11243935015966619,13054144.396000002
Pakistan,50s,0.11243935015966619,8130292.144
Pakistan,60+,0.11243935015966619,7872866.9281
Panama,<30,0.003169986153526784,2124907.0
Panama,30s,0.003169986153526784,607864.0
Panama,40s,0.003169986153526784,549248.0
Panama,50s,0.003169986153526784,426535.0
Panama,60+,0.003169986153526784,516438.0
Papua N.G.,<30,0.0038946155983066192,3552620.0
Papua N.G.,30s,0.0038946155983066192,714597.0
Papua N.G.,40s,0.0038946155983066192,451125.0
Papua N.G.,50s,0.0038946155983066192,259721.0
Papua N.G.,60+,0.0038946155983066192,212723.0
Paraguay,<30,0.0038739164873962326,3324427.0
Paraguay,30s,0.0038739164873962326,640713.0
Paraguay,40s,0.0038739164873962326,511801.0
Paraguay,50s,0.0038739164873962326,318024.0
Paraguay,60+,0.0038739164873962326,368233.0
Peru,<30,0.022045051314778855,15071585.0
Peru,30s,0.022045051314778855,4379777.0
Peru,40s,0.022045051314778855,3660378.0
Peru,50s,0.022045051314778855,2772568.0
Peru,60+,0.022045051314778855,3497576.0
Philippines,<30,0.07554993836113442,60174919.0
Philippines,30s,0.07554993836113442,14084581.0
Philippines,40s,0.07554993836113442,11133653.0
Philippines,50s,0.07554993836113442,8037381.0
Philippines,60+,0.07554993836113442,7263245.0
Poland,<30,0.02849368044881993,12496426.0
Poland,30s,0.02849368044881993,6123193.0
Poland,40s,0.02849368044881993,5241089.0
Poland,50s,0.02849368044881993,4866444.0
Poland,60+,0.02849368044881993,9249535.0
Portugal,<30,0.007721295826257251,3066564.0
Portugal,30s,0.007721295826257251,1296718.0
Portugal,40s,0.007721295826257251,1579162.0
Portugal,50s,0.007721295826257251,1476210.0
Portugal,60+,0.007721295826257251,2872373.0
Qatar,<30,0.0020709389938205853,1188727.0
Qatar,30s,0.0020709389938205853,886212.0
Qatar,40s,0.0020709389938205853,443236.0
Qatar,50s,0.0020709389938205853,175459.0
Qatar,60+,0.0020709389938205853,66536.0
Romania,<30,0.01465371528268952,6340634.0
Romania,30s,0.01465371528268952,2755849.0
Romania,40s,0.01465371528268952,3150010.0
Romania,50s,0.01465371528268952,2382990.0
Romania,60+,0.01465371528268952,4901148.0
Russia,<30,0.10744339900787529,53569774.0
Russia,30s,0.10744339900787529,21650532.0
